title,description
소년이 온다 (한강 소설 l 2024년 노벨문학상 수상작가),"말라파르테 문학상, 만해문학상 수상작 우리 시대의 소설 『소년이 온다』2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』.이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다. 『소년이 온다』는 ‘상처의 구조에 대한 투시와 천착의 서사’를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명하며, 무고한 영혼들의 말을 대신 전하는 듯한 진심 어린 문장들로 5·18 이후를 살고 있는 우리에게 묵직한 질문을 던진다. 이 작품은 가장 한국적인 서사로 세계를 사로잡은 한강 문학의 지향점을 보여준다. 인간의 잔혹함과 위대함을 동시에 증언하는 이 충일한 서사는 이렇듯 시공간의 한계를 넘어 인간 역사의 보편성을 보여주며 훼손되지 말아야 할 인간성을 절박하게 복원한다."
채식주의자 (한강 소설ㅣ2024년 노벨문학상 수상작가),"인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 역작을 다시 만나다2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 국내에서는 현재까지 100만부 가까이 판매되었다.『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다."
작별하지 않는다 (한강 소설ㅣ2024년 노벨문학상 수상작가 l 2023년 메디치 외국문학상 수상),"무엇을 생각하면 견딜 수 있나.가슴에 활활 일어나는 불이 없다면.기어이 돌아가 껴안을 네가 없다면.이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터꿈처럼 스며오는 지극한 사랑의 기억2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다."
"한강 스페셜 에디션 (작별하지 않는다, 흰, 검은 사슴 & 필사노트)","한국 최초 노벨문학상 수상!한강 작가의 빛나는 성취를 특별한 장정으로 만난다최신작 장편소설 『작별하지 않는다』자전적 소설 『흰』첫 장편소설 『검은 사슴』2024년 10월, “역사적 트라우마를 정면으로 마주하고 인간 삶의 연약함을 드러내는 강렬하고 시적인 산문”이라는 선정 이유와 함께 한국 최초 노벨문학상 수상 작가로 호명된 한강. 아시아 여성으로서는 최초 수상이며 역대 열여덟번째 여성 작가의 노벨문학상 수상이라는 점 또한 새로운 의미가 되었다. 한강 작가의 빛나는 성취를 기쁘게 축하하며 그의 30년 작품세계의 주요 마디가 되는 세 권의 소설을 특별한 장정으로 펴낸다. 흰 무명천에 수놓인 작품 제목을 형상화한 ‘한강 스페셜 에디션’의 디자인은, 연결되고, 얽히고, 끊어지고, 풀리는 실의 속성이 작가가 써내려가는 문장과 그 문장들의 모음으로 이루어지는 하나의 세계와 닮은 데서 착안했다. 실을 잣는 것과 문장을 짓는 것은 얼핏 선형적 작업으로 보이나 그것이 삶과 죽음, 인간의 실존에 대한 내밀한 탐구에서부터 이 세계에 벌어지는 무수한 일들의 의미를 묻는 작업까지 아우를 수 있음을 담고 싶었다. 필연적으로 시간성을 띤 우리 삶 역시 그러하다고 덧붙이고도 싶었다. 소설 3종에 한정판 필사 노트를 더하였다. 『작별하지 않는다』 『흰』 『검은 사슴』의 문장을 따라 쓰며 작품을 찬찬히 음미하는 시간을, 한강 작가의 노벨문학상 수상 소식으로 더없이 특별했던 한 해를 마무리하는 시간을 독자들과 나누고 싶다. ‘한강 스페셜 에디션’의 첫번째 자리에 『작별하지 않는다』를 놓는다. 완성하기까지 7년이 걸린 최신작 장편소설로, 2023년 프랑스 4대 문학상 중 하나인 메디치 외국문학상을 한국 최초로 수상, 연이어 에밀 기메 아시아문학상을 수상하며 한국을 넘어 기억과 애도에 관한, 무엇보다 지극한 사랑에 대한 보편적 감동을 선사한 작품이다. 작가는 메디치상 수상을 기념한 간담회에서 “이 책은 인간성의 아래로 내려가서 그 아래에서 촛불을 밝히는 이야기”라며 “그렇게 애도를 끝내지 않는, 결코 작별하지 않겠다는 각오를 가진 사람들의 이야기이고 그런 마음들의 이야기”라고 설명했다. 또한 최근 노벨위원회와의 인터뷰에서 “저는 모든 작가가 가장 최근에 쓴 책을 마음에 들어한다고 생각해요. 제가 가장 최근에 쓴 책은 『작별하지 않는다』입니다. 이 책으로 시작하시면 좋을 것 같아요”라고 밝히며 이 작품에 대한 각별한 애정을 전한 바 있다. “이것이 지극한 사랑에 대한 소설이기를 빈다.”_‘작가의 말’에서소설 『흰』은 “흰 것에 대해 쓰겠다고 결심한 봄에 내가 처음 한 일은 목록을 만든 것이었다”라는 문장으로 시작한다. 강보, 배내옷, 소금, 눈, 얼음, 달, 입김, 서리, 흰 뼈로 이어지는 목록들. 어머니가 스물세 살에 낳았다는, 태어난 지 두 시간 만에 죽었다는 아기. 그 아기가 죽은 자리에서 자라고 있는 ‘나’는 ‘달떡처럼 희고 어여뻤다는’ 언니의 죽음, 유태인 게토에서 벌어진 여섯 살 아이의 죽음과 공명한다. 흰 것들의 이미지는 숭고와 두려움을 동시에 뿜으며 산 자와 죽은 자의 경계에서 고요히 빛을 발한다. “애도와 부활, 인간 영혼의 강인함에 대한 책”이라는 평과 함께 인터내셔널 부커상 최종 후보에 올랐으며, 한강 작가는 노벨위원회와의 인터뷰에서 “『흰』은 자전적인 요소가 많이 들어간 매우 개인적인 책으로 추천합니다”라고 밝혔다.  “어쩌면 아직도 나는 이 책과 연결되어 있다. 흔들리거나, 금이 가거나, 부서지려는 순간에 당신을, 내가 당신에게 주고 싶었던 흰 것들을 생각한다. 나는 신을 믿어본 적이 없으므로, 다만 이런 순간들이 간절한 기도가 된다.” _‘작가의 말’에서『검은 사슴』(1995)은 한강 작가가 1993년 등단 후 꼬박 3년간 집필에 몰두해 완성한 첫 장편소설로, 치밀하고 빈틈없는 서사와 깊은 울림을 주는 시적인 문장들로 출간 당시 “한 젊은 마이스터의 탄생을 예감케 한다”(문학평론가 서영채)는 찬사를 받았다. 어느 날 한낮의 도심에서 발가벗은 채 도로를 달려나가던 한 여자가 사라지고, 그녀를 알고 있는 두 남녀가 몇 가지 단서만 손에 쥔 채 그녀를 찾아나선다. 『검은 사슴』은 그 여정에서 각자가 대면하게 된 저마다의 깊은 심연을 음울히 비춘다. 다시 세상 밖으로 돌아나오지 못하더라도 심연 속으로 발을 내딛는 인물들의 여정에서 우리는 역설적으로 어둠이 아닌 빛을 따라가는 경험을 하게 될 것이다. “말과 침묵, 어둠과 빛, 꿈과 생시, 죽음과 삶, 기억과 현실 사이에 공간이 있다. 그 공간은 사이에만 있을 뿐 아니라, 그것들을 안팎으로 둘러싸며 가득차 있다. 내 말들이 그 공간을 진실하게 통과해 나올 수 있기를 간절히 빌었다. 캄캄한 흙속을 비집고 내려간 흰 뿌리처럼, 어둠과 빛의 한 몸뚱이를 잎사귀까지 길어올릴 수 있기를 빌었다.” _1995년 초판 ‘작가의 말’에서■한강 스페셜 에디션 디자이너 코멘트■한강 작가님의 책을 하나의 시리즈로 엮어낸다고 상상했을 때, 실로 이어지는 모습이 떠올랐습니다. 실은 보이지 않는 곳에서 소리 없이 이어주고 연결하는 매개가 됩니다. 영롱하게 빛나던 자수 실이 한 땀 한 땀 엮여 글자가 되어가는 과정을 통해 작가님의 작품이 또다른 아름다움으로 다가갈 수 있길 바랍니다. _디자이너 김이정"
흰 (한강 소설ㅣ2024년 노벨문학상 수상작가),"결코 더럽혀지지 않는, 절대로 더럽혀질 수가 없는 어떤 흰 것에 관한 이야기!한국인 최초 맨부커상 수상 작가 한강의 소설 『흰』. 2018년 맨부커 인터네셔널 부문 최종후보작으로 선정된 이 작품은, 2013년 겨울에 기획해 2014년에 완성된 초고를 바탕으로 글의 매무새를 닳도록 만지고 또 어루만져서 2016년 5월에 처음 펴냈던 책이다. 삶과 죽음이라는 경계를 무력하게 만드는 이 소설은 한 권의 시집으로 읽힘에 손색이 없는 65편의 이야기로 구성되어 있다. 강보, 배내옷, 각설탕, 입김, 달, 쌀, 파도, 백지, 백발, 수의…. 작가로부터 불려나온 흰 것의 목록은 총 65개의 이야기로 파생되어 ‘나’와 ‘그녀’와 ‘모든 흰’이라는 세 개의 장 아래 담겨 있다. 한 권의 소설이지만 각 소제목, 흰 것의 목록들 아래 각각의 이야기들이 그 자체로 밀도 있는 완성도를 자랑한다. ‘나’에게는 죽은 어머니가 스물세 살에 낳았다 태어난 지 두 시간 만에 죽었다는 ‘언니’의 사연이 있다. 나는 지구의 반대편의 오래된 한 도시로 옮겨온 뒤에도 자꾸만 떠오르는 오래된 기억들에 사로잡힌다. 나에게서 비롯된 이야기는 ‘그녀’에게로 시선을 옮겨간다. 나는 그녀가 나대신 이곳으로 왔다고 생각하고, 그런 그녀를 통해 세상의 흰 것들을 다시금 만나기에 이른다."
소년,"학창 시절, 기숙사, 아름다운 후배와의 ‘소년애’노벨문학상 수상 작가 가와바타 야스나리의 숨겨진 문제작“너의 손가락을, 뺨을, 눈꺼풀을, 혀를 애착했다. 나는 너를 사랑했다. 너도 나를 사랑했다고 해도 좋다.”노벨문학상 수상 작가 가와바타 야스나리 그의 문학적 원점에 가닿는 화제의 문제작《설국》으로 노벨문학상을 수상한, 일본 근대 서정 문학을 대표하는 작가 가와바타 야스나리. 그의 문학적 원점에 가닿는 숨겨진 명작 《소년》이 ‘북다’에서 국내 초역으로 출간되었다. 작가는 1968년 노벨상 수상 당시 “일본인 심리의 본질을 그린, 매우 섬세한 표현에 의한 서술의 탁월함”이 수상평으로 언급될 만큼 아름답고 섬세한 문장을 쓰는 것으로 유명하다. 또한 작품 세계 전반에 걸쳐 서정적 비애와 감각적 미학을 추구했다. 대문호 가와바타의 대표작이자 초기작 중 하나가 〈이즈의 무희〉다. 흔들리는 청춘의 내밀한 고독함과 인간과의 만남을 통한 정서적 구원에 대해 슬프도록 미학적인 문장으로 표현한 자전적 소설로, 이론의 여지없이 가와바타표 신감각파 문학의 근간으로 평가받는다. 〈이즈의 무희〉와 마찬가지로 《소년》은 젊은 가와바타 특유의 애수와 서정성이 고스란히 담긴 작품이다. 작중에서 작가는 “〈유가시마에서의 추억〉이라는 제목의 글이 있다. 스물네 살 여름에 썼다. 이 이야기의 전반부를 스물여덟 살에 고쳐서 〈이즈의 무희〉라는 작품으로 완성했다. 후반부에는 중학 시절 기숙사에서 같은 방을 썼던 소년을 향한 사랑의 추억이 적혀 있다.(19쪽)”라고 언급한다. 비슷한 시기에 “소년을 향한 사랑의 추억”으로 완성된 작품이 바로 《소년》인 것이다. 사실 《소년》은 집필 당시부터 출간에 이르기까지 많은 우여곡절을 거쳤다. 1948년, 가와바타가 창간한 문예지 《인간》에서 연재를 시작했지만 재정난으로 불안정한 연재가 이어졌다. 4년 뒤인 1952년이 되어서야 신초샤 출판사의 《가와바타 야스나리 전집 14권》에 후반부가 수록되며 완결을 맺었다. 이후 가와바타 문학 애호가들 사이에서 전설처럼 회자될 뿐 전집을 살펴보는 것이 아니라면 볼 방법이 마땅치 않았다. 그러다 완결 후 70년 만인 2022년 ‘가와바타 사후 50주년 기념작’으로 처음 단행본이 출간되어 온전한 책의 형태로 독자를 만날 수 있게 되었다.뒤늦은 출간에는 여러 이유가 있겠지만 일본을 대표하는 대문호가 소년 시절 한 소년을 향한 감정을 ‘사랑’이라 명명하고 요동치는 청춘의 번뇌를 고백한다는 파격에 가까운 진솔함이 상당 부분 작용했을 것이다. 하지만 2022년 단행본 출간 이후 독자들의 열렬한 호응과 관심 속에 입소문을 타고 증쇄를 거듭하며 ‘가와바타 문학의 원점’으로 재평가받게 되었다. 이 화제의 문제적 걸작을, 작가의 미려한 시적 언어를 섬세하게 옮겨 국내 최초로 소개한다."
콘클라베(영화 특별판) (신의 선택을 받은 자),"종교에 대해 우리가 가지고 있는 고정관념을 깨며 파격적인 생각의 전환과 신선한 충격을 안겨주는 소설 《콘클라베》는 2016년 초판 출간 당시부터 독자들의 입소문을 타고 영국 아마존 베스트셀러와 선데이 타임스 베스트셀러 목록에 올랐으며 데일리 메일, 타임스, 옵서버 등 주요 언론 매체에 ‘올해의 책’으로 선정되었다. 날카로운 시선을 유지하며 역사적 사건을 스릴러에 담아내는 데 능통한 로버트 해리스의 이 소설은 일찌감치 관계자들의 높은 관심을 받으며 영화화가 결정되었으며, 레이프 파인즈, 스탠리 투시, 존 리스고, 이저벨라 로셀리니의 명연기가 더해져 마침내 오는 3월 한국 팬들과도 만나게 된다. 영화는 2025년 기대작으로, 골든글로브를 비롯해 아카데미, 영국 아카데미, 크리틱스초이스 등 굵직한 영화상에서 최다 부분에 노미네이트되었다.  제2차 바티칸 공의회로부터 60여 년이 지난 2022년 10월 19일, 가톨릭교회의 최고 지도자 교황이 선종했다. 즉시 전 세계 곳곳에 있던 118명의 추기경들은 시스티나 예배당에 모여 차기 교황을 선출하기 위한 비밀회의(콘클라베)에 들어간다. 선거 관리 임무를 맡은 로멜리의 시점을 따라, 주요 후보를 두고 시시각각 변화하는 권력의 미세한 이동 경로가 섬세한 필치로 그려가는데 물론 선거는 단번에 승부가 나지 않는다. 처음 투표할 때만 해도 혼란스러워하던 유력 후보들은 첨예한 표 차이 속에 조금씩 속내를 드러내며 세력을 모은다. 가장 숭고한 자리에 오르기 위한 이들의 야심을 예상이라도 한 듯, 선종 직전 교황은 생각보다 많은 일을 남겼다. 마지막으로 교황을 만났던 사람, 가장 드러내고 싶지 않았던 추문이 하나둘 밝혀지면서 마침내 교황이 생전 써왔던 방의 봉인마저 풀린다. 여기에 교황이 은밀하게 임명한 의중 추기경 베니테스가 콘클라베 직전 등장하며, 상황은 점점 더 미궁에 빠지는데……. #정치 미스터리 #골든글로브 #영화원작 #아카데미"
사랑에 대하여,인간의 사소한 삶 속에 깃든 무한한 우주를 들여다보는 날카로운 시선  현대 단편 소설의 새로운 방향을 제시한 안톤 체호프의 사랑과 우수와 회한의 이야기들
미로 속 아이 (기욤 뮈소 장편소설),"마지막 한 줄을 다 읽고 나야 모든 의혹이 해소된다.《미로 속 아이》 줄거리 요약이탈리아의 저명한 기업가 카를로 디 피에트로의 상속녀이자 종군기자로 명성을 떨친 적이 있고, 출판사를 설립해 경영인으로도 뛰어난 수완을 보여준 오리아나 디 피에트로가 코트다쥐르 인근 레렝 제도 해상 위에 떠 있는 〈루나 블루호〉에 탑승했다가 괴한의 습격을 받고 혼수상태에 빠진다. 〈루나 블루호〉의 근처를 지나던 배에 탑승해 있던 여학생 두 명이 피투성이가 된 상태로 갑판에 쓰러져 있는 오리아나를 발견하고, 경찰에 신고한다.니스 경찰청 강력반 쥐스틴 팀장은 과학수사대와 수하의 형사들을 데리고 요트로 출동해 이미 피를 너무 많이 흘려 생명이 위독한 오리아나를 병원으로 이송한다. 쥐스틴 팀장은 요트에서 초동 수사를 펼치지만 이렇다 할 단서를 찾아내지 못한다. 과학수사대가 요트에서 몇 개의 희미한 지문을 찾아냈으나 경찰 지문 데이터베이스에도 없는 인물들이라 신원을 밝혀내기 어렵다. 병원에 실려 간 오리아나는 응급처치를 받았으나 열흘 동안 사경을 헤매다가 끝내 숨을 거둔다. 30억 유로를 상속받게 된 디 피에트로 가문의 상속녀가 레랭 제도 해상에 떠 있는 요트에서 괴한의 급습을 받고 사망하자 이탈리아와 프랑스 언론은 깊은 관심을 표명하며 대대적인 보도에 나선다. 경찰은 오리아나의 남편 아드리앙을 유력한 용의자로 보고 범행을 증명할 단서를 찾아 나서지만 실패한다. 수사를 거듭할수록 오히려 아드리앙이 오리아나와 자녀들을 사랑한 모범적인 가장이라는 사실이 드러날 뿐이다. 게다가 오리아나는 살아오는 동안 누군가에게 복수의 대상이 될 만큼 잘못을 저지른 적이 없다.그렇다면 과연 누가 오리아나를 살해했을까? 니스 경찰청의 쥐스틴 팀장과 베르고미 형사는 피해자의 주변 인물들을 수사했으나 변변한 성과를 거두지 못했다. 이들은 전화위복을 꿈꾸며 범행 동기에 초점을 맞추는 추적 수사에 집중한다. 오리아나의 지난날에 대해 알아갈수록 매우 흥미로운 비밀들이 하나둘 베일을 벗는다."
이중 하나는 거짓말 (김애란 장편소설),"서로 만나지 않고도 이루어지는 애틋한 접촉그림과 비밀, 그리고 슬픔으로 서로 밀착되는 세 아이의 이야기젊은 거장 김애란, 13년 만의 신작 장편소설한국문학의 결정적 순간을 만들어온 김애란의 신작 장편소설 『이중 하나는 거짓말』이 문학동네에서 출간되었다. 몇 년 전 진행된 한 인터뷰에서 차기작에 대해 묻는 질문에 작가가 “빛과 거짓말 그리고 그림에 관한 이야기”라고 설명한 것 외에는 모든 것이 베일에 가려져 있던 바로 그 작품이 오랜 기다림 끝에 마침내 공개되는 것이다. 2002년에 작품활동을 시작해 올해로 작가생활 23년 차에 접어드는 김애란은 신중한 걸음으로 작품세계를 일구어나가며 지금까지 소설집 네 권과 장편소설 한 권을 선보였지만, 다섯 권 모두 여전히 널리 읽히며 책 제목만으로도 우리 각자에게 고유한 장면을 떠올리게 하는 드문 생명력을 지니고 있다. 활달한 유머와 상상력으로 앞을 향해 달려나가는 『달려라, 아비』(창비, 2005)부터 우리를 둘러싼 삶의 조건을 골똘히 응시하며 ‘안과 밖’의 시차를 포착한 『바깥은 여름』(문학동네, 2017)까지, 한자리에 멈춰 서지 않은 채 조금씩 자리를 옮겨가며 어렵게 얻어낸 이해의 결과물이 책 한 권 한 권에 담겨 있는 것이다.   『이중 하나는 거짓말』은 고등학교 2학년인 세 아이가 몇 가지 우연한 계기를 통해 서로를 의식하기 시작한 후 서서히 가까워지며 잊을 수 없는 시기를 통과해나가는 이야기이다. 소설에서 주요하게 다뤄지는 시간대는 두 달 남짓한 짧은 방학이지만, 우리는 세 아이의 시점을 오가면서 서서히 진실이 밝혀지는 독특한 구성을 통해 현재에 다다르게 된 인물들의 전사를 총체적으로 경험하게 된다. 결코 길지 않은 이 소설이 무엇보다 광활하게 느껴지는 것은 이 때문일 것이다. ‘무엇을 어떻게 말할 것인가’라는 문제 앞에서 깊이 고심한 끝에 완성된 『이중 하나는 거짓말』은 소설의 구조에 대한 고민이 어떻게 인물에 대한 이해와 연결되는지를 마지막에 이르러 감동적으로 제시한다. “누군가의 눈동자에 빛을 새겨넣을 때 붓 끝”에 “아주 적은 양의 흰 물감”(196쪽)을 묻혀야 하는 것처럼, ‘소량이지만 누군가의 영혼을 표현하는 데 꼭 필요한 그 무엇’처럼, 김애란은 누군가의 영혼을, 그러니까 결코 진부하게 요약될 수 없는 인물의 다면적이고 중층적인 삶을 특유의 간결하고 여운 가득한 문장을 통해 그려 보인다."
