Category,Article
politics,각종 청탁·편법 채용… 선관위 채용비리 적발
politics,더불어민주당이 27일 국회 본회의에서 처리할 예정이던 상법 개정안이 상정되지 않았다. 우원식 국회의장은 이날 상법 개정안을 상정하지 않고 여야에 추가 협의..
politics,국민의힘이 윤석열 대통령이 탄핵심판 최후 변론에서 제시한 `직무 복귀 시 개헌` 카드를 적극 지원한다. 당 헌법개정특별위원회를 발족하며 자체 개헌안 마련에..
politics,"이재명 더불어민주당 대표가 27일 임종석 전 대통령 비서실장을 만나면서 비명계 통합행보를 이어가고 있다. 김경수 전 경남지사, 박용진 전 의원, 김부겸 전 국.."
politics,검찰이 공직선거법 위반 혐의로 기소된 이재명 더불어민주당 대표의 항소심 결심 공판에서 징역 2년을 구형했다. 1심 구형과 같다. 항소심 선고는 다음 달 26일..
politics,헌법재판소의 윤석열 대통령 탄핵심판 선고가 다음달 중순쯤으로 예상되는 가운데 여야가 조기대선 현실화 가능성에 대응 전략을 짜고 있다. 거대 양당이 모두..
politics,"""여, `52시간제`로 반도체법 태클""""개헌, 안할 수 없지만 지금은 내란극복 집중""이재명 더불어민주당 대표가 대성에서 승리할 경우 ""정치보복을 하지 않겠다""고.."
politics,헌법재판소는 27일 최상목 대통령 권한대행이 마은혁 헌법재판관 후보자를 임명하지 않은 것은 위헌이라고 판단했다. 이번 선고로 최 대행에게 마 후보자를 임명..
politics,"친연(親이낙연)계 중심의 새미래민주당이 호남 출신의 민족자본가 인촌(仁村) 김성수 선생을 대한민국 건국의 `숨은 주역, 아버지`로 평가하고 명예회복에 연이.."
politics,"""용기란 어려운 상황서도 올바름 선택하는 것""김선호 국방부 장관 직무대행은 27일 육군사관학교 졸업식에서 ""어떠한 순간에도 국가와 국민만을 생각하며, 올바.."
politics,국회의원 연구단체 `국회 AI 포럼`의 이인선 국민의힘 의원(대표의원)과 조승래 더불어민주당 의원(연구책임의원)이 여야 공동으로 대표발의한 `조세특례제한법`..
politics,"권영세 국민의힘 비상대책위원장이 27일 이명박 전 대통령을 만나 경제 불확실성과 당의 위기, 단합의 중요성에 공감대를 형성했다.권 위원장은 이날 서울 서초.."
politics,"안철수 국민의힘 의원은 27일 ""영국 방문을 통해 단순 지원형 ODA를 넘어 전략적이고 지속가능한 글로벌 파트너십 구축의 필요성을 재확인했다""며 ""대한민국의.."
economy,`추락 사망` 발생 건설사 다시 공개한다
economy,정부가 국제개발협력의 유상원조 기금인 대외경제협력기금(EDCF)을 올해부터 3년간 14조1000억원을 승인하기로 했다.기획재정부는 EDCF 운용위원회를 개최해 202..
economy,"강경성(사진) 대한무역투자진흥공사(코트라·KOTRA) 사장이 27일 ""임기 내 무역관 140개, 연간 예산 7500억원, 인력 1900명 시대를 열겠다""며 ""모든 임직원을 `1.."
economy,"가계소득이 6분기 연속 증가했지만 소비 지출을 보면 증가폭이 계속 둔화되는 모습이다. 가계가 정치·경제적 불확실성에 소비를 줄인 탓이다. 특히, 자동차 구.."
